Tipo,Numero,Nombre,Densidad poblacion,Empadronados,6k,6k-12k,12k-18k,18k-21k,21k-30k,30k-60k,60k,UnidadesProductivas_Actividades_Financieras,UnidadesProductivas_Administracion_Publica_Sanidad_Educacion,UnidadesProductivas_agricultura_Ganaderia,UnidadesProductivas_alimentacion_textil,UnidadesProductivas_Comercio_Hosteleria,UnidadesProductivas_Construcion,UnidadesProductivas_Industria_Manufacturera,UnidadesProductivas_Informacion_servicio_profesional,UnidadesProductivas_Metal,UnidadesProductivas_Mineria_electricidad_agua,UnidadesProductivas_Otras,UnidadesProductivas_Otras_Actividades_de_Servicios,UnidadesProductivas_transporte,Empadronados Inicio,Empadronados Final,Balance Empadronados,Ocupados Inicio,Ocupados Final,Balance Ocupados,Sector Predominante,Poligono,Tipo Poblacion,%_UnidadesProductivas_Actividades_Financieras,%_UnidadesProductivas_Administracion_Publica_Sanidad_Educacion,%_UnidadesProductivas_agricultura_Ganaderia,%_UnidadesProductivas_alimentacion_textil,%_UnidadesProductivas_Comercio_Hosteleria,%_UnidadesProductivas_Construcion,%_UnidadesProductivas_Industria_Manufacturera,%_UnidadesProductivas_Informacion_servicio_profesional,%_UnidadesProductivas_Metal,%_UnidadesProductivas_Mineria_electricidad_agua,%_UnidadesProductivas_Otras,%_UnidadesProductivas_Otras_Actividades_de_Servicios,%_UnidadesProductivas_transporte,%_Balance_Empadronados,%_Balance_Ocupados,Mediana_Empadronados,%50_Empadronados,Mediana_Ocupados,%50_Ocupados
Municipios,14,La Acebeda,2.51,55,-,-,-,-,-,-,-,18.18,145.45,0.0,0.0,181.82,36.36,36.36,72.73,18.18,0.0,18.18,0.0,0.0,28,27,1,40,65,25,5,,1,0.03448014262413231,0.2758601069680992,0.0,0,0.3448393581914046,0.06896028524826461,0.06896028524826461,0.13793953647157,0.03448014262413231,0.0,0.03448014262413231,0.0,0.0,0.01818181818181818,0xf,-0.0004700352526439483,1,0xf,1
Municipios,29,Ajalvir,242.07,4676,468,190,302,224,407,509,101,3.42,6.63,2.57,4.7,62.66,20.1,49.19,34.0,24.81,0.86,19.67,19.03,12.62,983,987,-4,5272,5173,99,5,9.0,4,0.013140705448397755,0.025474525474525476,0.009874740643971413,0.018058864212710368,0.24075924075924077,0.07723046184584646,0.18900330438791976,0.13063859217705373,0.09532774917390302,0.0033043879197725353,0.0755782678859602,0.07311918850380389,0.04848997156689464,-0.000855431993156544,0.021171941830624465,-0.0004700352526439483,2,0xf,1
Municipios,35,Alameda del Valle,9.63,246,24,11,19,-,25,28,-,0.0,12.2,20.33,0.0,44.72,4.07,0.0,40.65,0.0,0.0,0.0,12.2,0.0,33,33,0,91,63,28,5,0.0,1,0.0,0.0909294179026608,0.15152418573451593,0,0.3333084892300813,0.0303346500708057,0.0,0.30297383915927556,0.0,0.0,0.0,0.0909294179026608,0.0,0.0,0.11382113821138211,-0.0004700352526439483,1,0xf,1
Municipios,40,El Álamo,451.89,9908,1169,527,735,368,736,678,115,1.82,5.55,1.31,0.81,24.42,14.94,5.35,10.6,2.12,0.1,2.42,9.08,7.87,778,803,-25,1929,1945,-16,5,1.0,5,0.021067253154300268,0.06424354670679476,0.015163792105567774,0.009376085195045724,0.282671605509897,0.17293668248639887,0.06192846394258594,0.12269938650306748,0.024539877300613498,0.0011575413821044104,0.028012501446926727,0.10510475749508046,0.09109850677161709,-0.002523213564796124,-0.0016148566814695195,-0.0004700352526439483,2,0xf,2
Municipios,53,Alcalá de Henares,2222.64,195982,20195,8022,12641,8979,20286,24106,4400,1.97,6.81,0.3,0.6,24.16,10.34,3.96,12.36,1.51,0.2,1.86,14.99,5.41,15975,15776,199,80142,80391,-249,5,23.0,5,0.02332188942819936,0.080620338581745,0.0035515567657156384,0.007103113531431277,0.2860187048656328,0.12241032319166568,0.04688054930744643,0.14632413874748432,0.01787616905410205,0.0023677045104770924,0.02201965194743696,0.1774594530602581,0.06404640700840536,0.001015399373411844,-0.0012705248441183374,-0.0004700352526439483,1,0xf,2
Municipios,66,Alcobendas,2582.17,116589,10634,4394,6279,4077,9467,14019,7719,4.24,8.71,0.5,0.81,30.01,7.53,3.66,33.06,1.0,0.38,1.85,35.71,4.9,15146,15005,141,104331,101005,3326,12,4.0,5,0.03203384708371109,0.06580537926866123,0.003777576307041402,0.006119673617407072,0.22673012994862496,0.056890299184043515,0.027651858567543063,0.2497733454215775,0.007555152614082804,0.0028709579933514653,0.013977032336053187,0.2697944998488969,0.037020247809005744,0.0012093765278027944,0.02852756263455386,-0.0004700352526439483,1,0xf,1
Municipios,72,Alcorcón,5106.4,170817,17463,7373,11014,7689,18075,21748,3855,1.79,6.3,0.16,0.88,24.05,9.33,3.64,13.58,0.97,0.11,1.79,16.41,6.45,14115,13975,140,61289,61648,-359,5,5.0,5,0.020945471565644747,0.07371869880645916,0.0018722209220688043,R,0.2814182073484672,0.10917388251813714,0.042593025977065296,0.15890475076058977,0.011350339340042126,0.001287151883922303,0.020945471565644747,0.19201965831968174,0.07547390592089867,0.0008195905559751079,-0.002101664354250455,-0.0004700352526439483,1,0xf,2
Municipios,88,Aldea del Fresno,59.55,3085,363,133,163,113,192,188,25,1.94,9.4,7.13,0.0,18.48,16.21,0.97,8.75,0.65,0.32,0.32,12.32,2.92,241,242,-1,637,616,21,5,,3,0.024430172522352345,0.11837300088150106,0.08978718045586197,0,0.2327162825840574,0.20413046215841832,0.012215086261176173,0.1101876337992696,0.008185367082231457,0.004029719178944717,0.004029719178944717,0.1551441883893716,0.03677118750787054,-0.00032414910858995135,0.006807131280388979,-0.0004700352526439483,1,0xf,1
Municipios,91,Algete,545.56,20749,2022,813,1282,835,1764,2493,1091,2.84,7.61,1.3,0.77,29.01,11.18,8.68,26.94,3.28,0.53,4.63,24.48,6.89,2523,2479,44,9020,8636,384,5,4.0,5,0.022163258935539255,0.059388169189948506,0.010145153738098956,0.006009052598720151,0.22639300764788517,0.08724832214765102,0.06773841111284533,0.21023880131106606,0.025597003277665054,0.004136101139378805,0.03613235523646013,0.19104104885281725,0.053769314811924464,0.0021205841245361223,0.01850691599595161,-0.0004700352526439483,1,0xf,1
Municipios,105,Alpedrete,1197.95,14959,1415,588,867,546,1399,2305,689,2.14,10.29,0.47,0.6,24.0,11.97,3.41,23.4,1.07,0.07,1.74,24.13,3.61,1534,1548,-14,3125,3204,-79,12,1.0,5,0.020018709073900846,0.09625818521983164,0.004396632366697849,0.005612722170252574,0.22450888681010295,0.11197380729653886,0.031898971000935465,0.21889616463985037,0.010009354536950423,0.000654817586529467,0.016276894293732462,0.22572497661365767,0.03376987839101965,-0.0009358914365933552,-0.005281101677919647,-0.0004700352526439483,2,0xf,2
