Tipo,Numero,Nombre,Densidad poblacion,Empadronados,6k,6k-12k,12k-18k,18k-21k,21k-30k,30k-60k,60k,UnidadesProductivas_Actividades_Financieras,UnidadesProductivas_Administracion_Publica_Sanidad_Educacion,UnidadesProductivas_agricultura_Ganaderia,UnidadesProductivas_alimentacion_textil,UnidadesProductivas_Comercio_Hosteleria,UnidadesProductivas_Construcion,UnidadesProductivas_Industria_Manufacturera,UnidadesProductivas_Informacion_servicio_profesional,UnidadesProductivas_Metal,UnidadesProductivas_Mineria_electricidad_agua,UnidadesProductivas_Otras,UnidadesProductivas_Otras_Actividades_de_Servicios,UnidadesProductivas_transporte,Empadronados Inicio,Empadronados Final,Balance Empadronados,Ocupados Inicio,Ocupados Final,Balance Ocupados,Sector Predominante,Poligono,Tipo Poblacion,%_UnidadesProductivas_Actividades_Financieras,%_UnidadesProductivas_Administracion_Publica_Sanidad_Educacion,%_UnidadesProductivas_agricultura_Ganaderia,%_UnidadesProductivas_alimentacion_textil,%_UnidadesProductivas_Comercio_Hosteleria,%_UnidadesProductivas_Construcion,%_UnidadesProductivas_Industria_Manufacturera,%_UnidadesProductivas_Informacion_servicio_profesional,%_UnidadesProductivas_Metal,%_UnidadesProductivas_Mineria_electricidad_agua,%_UnidadesProductivas_Otras,%_UnidadesProductivas_Otras_Actividades_de_Servicios,%_UnidadesProductivas_transporte,%_Balance_Empadronados,%_Balance_Ocupados,Mediana_Empadronados,%50_Empadronados,Mediana_Ocupados,%50_Ocupados
"Municipios","88","Aldea del Fresno","59.55","3085","363","133","163","113","192","188","25","1.94","9.4","7.13","0.0","18.48","16.21","0.97","8.75","0.65","0.32","0.32","12.32","2.92","241","242","-1","637","616","21","5","","3","0.024430172522352345","0.11837300088150106","0.08978718045586197","0","0.2327162825840574","0.20413046215841832","0.012215086261176173","0.1101876337992696","0.008185367082231457","0.004029719178944717","0.004029719178944717","0.1551441883893716","0.03677118750787054","-0.00032414910858995135","0.006807131280388979","-0.0004700352526439483","1","0xf","1"
"Municipios","278","Buitrago del Lozoya","74.82","1940","233","99","132","89","165","203","23","3.09","12.37","3.61","0.0","50.52","17.01","0.52","13.4","0.0","0.52","0.52","13.4","4.64","242","231","11","888","960","-72","5","","3","0.02583612040133779","0.10342809364548494","0.03018394648829431","0","0.4224080267558528","0.14222408026755853","0.004347826086956522","0.11204013377926421","0.0","0.004347826086956522","0.004347826086956522","0.11204013377926421","0.03879598662207357","0.005670103092783505","-0.03711340206185567","-0.0004700352526439483","1","0xf","2"
"Municipios","284","Bustarviejo","48.15","2701","321","133","162","131","252","307","89","1.11","10.37","5.92","3.33","27.77","13.7","4.81","17.77","0.74","0.37","0.74","15.92","2.59","263","271","-8","488","494","-6","5","","3","0.010557352101959292","0.09863039756515121","0.056305877877116224","0.031672056305877876","0.264124025109378","0.1303024538710291","0.04574852577515693","0.1690127449115465","0.007038234734639528","0.003519117367319764","0.007038234734639528","0.15141715807494768","0.02463382157123835","-0.002961865975564606","-0.0022213994816734544","-0.0004700352526439483","2","0xf","2"
"Municipios","301","La Cabrera","125.27","2782","317","122","179","120","239","259","61","0.72","12.94","0.36","1.08","37.38","18.33","4.31","12.94","2.52","0.72","0.72","11.5","3.95","293","287","6","782","719","63","5","","3","0.0066995440588071085","0.12040569461244999","0.0033497720294035542","0.010049316088210664","0.34781799571973576","0.1705592258304643","0.04010421512980366","0.12040569461244999","0.02344840420582488","0.0066995440588071085","0.0066995440588071085","0.10700660649483577","0.036754443100400117","0.002156721782890007","0.022645578720345075","-0.0004700352526439483","1","0xf","1"
"Municipios","357","Carabaña","45.48","2142","281","113","165","87","156","131","15","1.4","6.07","4.2","0.47","24.28","19.61","6.07","5.14","2.33","0.47","3.27","6.54","8.4","174","176","-2","365","384","-19","5","","3","0.015864022662889516","0.06878186968838527","0.04759206798866856","0.005325779036827195","0.2751274787535411","0.2222096317280453","0.06878186968838527","0.058243626062322945","0.026402266288951842","0.005325779036827195","0.037053824362606236","0.07410764872521247","0.09518413597733712","-0.0009337068160597573","-0.008870214752567693","-0.0004700352526439483","2","0xf","2"
"Municipios","376","Cenicientos","30.44","2083","328","104","124","-","138","75","-","2.88","5.28","12.96","0.96","25.44","12.96","1.92","4.32","0.48","0.96","0.48","4.32","4.8","152","158","-6","397","381","16","5","","3","0.037037037037037035","0.06790123456790123","0.16666666666666666","0.012345679012345678","0.3271604938271605","0.16666666666666666","0.024691358024691357","0.05555555555555555","0.006172839506172839","0.012345679012345678","0.006172839506172839","0.05555555555555555","0.06172839506172839","-0.0028804608737397984","0.007681228996639462","-0.0004700352526439483","2","0xf","1"
"Municipios","513","Chapinería","97.54","2494","317","119","135","88","183","240","43","1.2","7.62","2.0","0.4","27.67","15.64","7.62","11.23","4.81","0.4","2.41","10.02","3.21","212","216","-4","483","495","-12","5","","3","0.012734797835084369","0.08086596625278575","0.02122466305847395","0.00424493261169479","0.2936432134139871","0.16597686511726628","0.08086596625278575","0.11917648307333123","0.05104531465562984","0.00424493261169479","0.02557571898546111","0.10633556192295449","0.03406558420885069","-0.0016038492381716118","-0.0048115477145148355","-0.0004700352526439483","2","0xf","2"
"Municipios","421","Colmenar del Arroyo","38.11","1875","223","97","95","66","140","175","36","1.07","6.4","7.47","1.07","25.07","15.47","4.27","16.53","2.13","1.07","1.07","9.6","4.8","172","172","0","1029","1073","-44","5","","3","0.011143511768381591","0.06665278067069363","0.07779629243907521","0.011143511768381591","0.2610914392834827","0.16111226827744227","0.0444699021037284","0.1721516350760259","0.02218287856696522","0.011143511768381591","0.011143511768381591","0.09997917100604044","0.04998958550302022","0.0","-0.023466666666666667","-0.0004700352526439483","1","0xf","2"
"Municipios","565","Fresnedillas de la Oliva","60.98","1742","227","68","91","52","122","149","20","1.72","9.18","2.87","2.3","16.65","10.91","2.87","13.78","0.57","1.15","0.0","15.5","3.44","144","136","8","273","275","-2","5","","3","0.02125030887076847","0.1134173461823573","0.03545836422041018","0.028416110699283417","0.20570793180133431","0.13479120336051398","0.03545836422041018","0.17024956758092413","0.00704225352112676","0.014208055349641709","0.0","0.1914998764516926","0.04250061774153694","0.004592422502870264","-0.001148105625717566","-0.0004700352526439483","1","0xf","2"
"Municipios","604","Fuentidueña de Tajo","36.91","2228","308","103","155","107","168","122","9","2.24","5.83","11.67","1.35","20.2","11.67","4.49","4.94","1.35","1.35","1.8","11.67","9.43","179","186","-7","413","456","-43","5","","3","0.02545743834526651","0.06625752926468917","0.13262870780770541","0.015342652574156153","0.22957154222070686","0.13262870780770541","0.051028525968860095","0.05614274349357881","0.015342652574156153","0.015342652574156153","0.020456870098874872","0.13262870780770541","0.10717126946243889","-0.0031418312387791743","-0.019299820466786355","-0.0004700352526439483","2","0xf","2"
